PUFC04_SEX,PUFC05_AGE,PUFC06_MSTAT,PUFC07_GRADE,PUFC09_GRADTECH,PUFC11_WORK,PUFC14_PROCC,PUFC17_NATEM,PUFC18_PNWHRS,PUFC19_PHOURS,PUFC23_PCLASS,PUFC41_WQTR,PUFNEWEMPSTAT
0,33,2,20,0,1,29,1,8,48,2,2,0
1,46,2,11,0,1,25,1,6,36,4,2,0
0,44,2,4,0,1,36,2,4,16,4,2,0
1,18,3,14,0,1,1,2,8,48,2,2,0
1,17,3,4,0,1,1,2,8,48,2,2,0
1,49,2,20,0,1,4,0,8,48,2,2,0
0,45,2,16,0,1,33,1,8,40,1,2,0
1,39,2,12,0,1,4,0,8,48,2,2,0
0,35,2,14,0,0,43,3,0,0,5,2,1
1,37,2,14,0,1,34,1,8,48,2,2,0
0,42,2,3,1,1,25,1,2,14,4,2,0
1,38,2,14,0,1,25,1,8,48,4,2,0
0,39,2,14,0,1,25,1,2,14,4,2,0
1,78,5,14,0,0,43,3,0,0,5,1,1
1,41,2,14,0,1,25,1,8,48,4,2,0
0,54,2,20,0,1,19,1,12,84,4,2,0
1,29,2,14,0,1,22,1,8,48,2,2,0
0,32,2,14,0,1,1,1,4,20,2,2,0
1,57,2,14,0,1,25,1,8,48,4,2,0
0,50,2,14,0,1,7,1,8,56,1,2,0
1,23,2,0,1,1,1,1,6,36,7,2,0
0,22,2,14,1,0,43,3,0,0,5,1,1
1,36,3,4,0,1,1,1,8,48,7,2,0
1,67,2,4,0,0,43,3,0,0,5,0,1
0,62,2,4,0,1,25,1,8,48,4,2,0
1,66,2,4,1,1,25,1,5,35,4,2,0
0,57,2,4,1,1,25,1,1,7,4,2,0
0,85,5,6,0,0,43,3,0,0,5,1,1
1,42,2,14,0,1,4,0,8,48,2,2,0
1,59,2,4,0,1,25,1,8,48,4,2,0
0,59,2,8,0,0,43,3,0,0,5,1,1
1,31,3,14,0,1,34,1,12,72,2,2,0
1,45,2,20,0,1,25,1,9,54,4,2,0
0,38,2,14,0,0,43,3,0,0,5,1,1
1,35,2,14,1,1,25,1,8,48,4,2,0
0,33,2,14,0,0,43,3,0,0,5,1,1
1,34,2,14,0,1,25,1,7,42,4,2,0
0,34,2,3,0,1,19,2,8,48,4,2,0
1,80,5,5,0,0,43,3,0,0,5,0,1
1,29,2,14,0,1,1,2,6,36,2,2,0
0,31,2,14,0,0,43,3,0,0,5,0,1
1,32,3,14,0,1,1,2,6,36,2,2,0
0,61,2,14,0,1,8,2,5,15,3,2,0
1,54,2,4,0,1,25,1,6,36,4,2,0
0,51,2,14,0,1,25,1,2,14,4,2,0
0,22,3,20,0,1,42,1,8,40,2,2,0
1,32,2,14,0,1,27,1,8,48,2,2,0
1,74,2,4,0,1,25,1,6,36,4,2,0
0,73,2,8,0,0,43,3,0,0,5,0,1
1,41,2,20,1,1,1,1,5,30,7,2,0
0,40,2,20,0,0,43,3,0,0,5,0,2
1,39,2,4,0,1,33,1,7,35,4,2,0
0,43,2,20,0,1,42,1,8,40,1,2,0
0,18,3,2,1,0,43,3,0,0,5,1,1
1,84,5,8,0,0,43,3,0,0,5,0,1
1,38,2,14,0,1,25,1,6,36,4,2,0
0,39,2,4,0,0,43,3,0,0,5,0,1
1,69,2,8,0,1,25,1,7,42,4,2,0
0,64,2,8,0,1,25,1,3,18,4,2,0
1,56,2,8,0,1,25,1,6,36,4,2,0
0,51,2,0,0,1,25,1,3,18,4,2,0
1,30,3,14,1,1,35,1,8,48,2,2,0
1,29,3,14,0,1,35,1,8,48,2,2,0
1,53,2,4,0,1,25,1,7,42,4,2,0
0,52,2,4,0,1,25,1,2,14,4,2,0
1,25,3,4,0,1,1,1,6,36,7,2,0
0,24,3,5,0,1,1,1,6,36,7,2,0
1,44,2,20,0,1,25,1,7,42,4,2,0
0,45,2,4,0,0,43,3,0,0,5,0,1
1,50,2,13,0,1,25,1,6,48,4,2,0
0,50,2,4,0,0,43,3,0,0,5,0,1
1,67,2,7,0,1,25,1,8,48,4,2,0
0,60,2,4,0,0,43,3,0,0,5,0,1
1,18,3,14,0,1,1,1,6,36,7,2,0
1,37,2,4,0,1,25,1,8,48,4,2,0
0,37,2,20,0,0,43,3,0,0,5,0,1
1,39,2,7,0,1,25,1,7,42,4,2,0
0,35,2,13,0,0,43,3,0,0,5,2,1
1,87,2,13,0,0,43,3,0,0,5,0,1
0,69,2,4,0,0,43,3,0,0,5,1,1
1,35,3,3,0,1,19,1,12,84,4,2,0
0,32,2,20,0,0,43,3,0,0,5,1,1
0,88,5,15,0,0,43,3,0,0,5,1,1
1,45,3,4,0,1,25,1,8,48,4,2,0
1,20,3,14,0,1,1,1,6,36,7,2,0
0,79,5,4,0,0,43,3,0,0,5,1,1
1,59,5,14,0,1,33,1,9,45,4,2,0
1,23,3,20,0,1,34,1,8,48,1,2,0
1,25,3,14,0,1,26,1,6,24,4,2,0
1,36,2,20,0,1,34,1,8,48,1,2,0
0,33,2,20,0,0,43,3,0,0,5,0,1
1,55,2,20,0,1,33,1,7,48,4,2,0
0,54,2,2,0,1,5,1,8,40,1,2,0
1,29,3,20,0,1,10,1,8,48,2,2,0
0,82,5,4,0,0,43,3,0,0,5,0,1
1,39,3,20,0,1,42,1,8,40,1,2,0
1,36,3,0,0,1,4,0,8,48,2,2,0
1,68,2,4,0,1,4,0,8,24,2,2,0
0,59,2,0,0,0,43,3,0,0,5,0,1
1,44,2,20,0,1,26,1,6,24,4,2,0
0,35,2,14,0,1,1,1,1,4,7,2,0
1,69,3,4,0,1,26,1,6,42,4,2,0
1,57,2,20,1,0,43,3,0,0,5,2,1
0,83,5,4,0,0,43,3,0,0,5,0,1
